"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genenames"
"ENSG00000126709",749.970478911332,3.46396563806433,0.21165820363232,16.3658463438616,3.35333372310141e-60,5.35829195614375e-56,"IFI6"
"ENSG00000165949",811.889981058774,2.41710017717289,0.170653267443228,14.1638083664411,1.53447766475633e-45,1.22597093025707e-41,"IFI27"
"ENSG00000137959",1507.4907339171,3.03161028166273,0.21918664979139,13.8311812537308,1.65283818200172e-43,8.8035671034018e-40,"IFI44L"
"ENSG00000169248",151.262212380885,5.60166790240402,0.414974572039903,13.4988220479817,1.58896378718053e-41,6.34751308883942e-38,"CXCL11"
"ENSG00000185745",1078.4794336943,3.03369580216103,0.226374933917162,13.4012001667603,5.94932357921298e-41,1.90128482944489e-37,"IFIT1"
"ENSG00000138642",449.105975684968,2.22204495649136,0.166199265277629,13.3697640165829,9.08285498094892e-41,2.41891566234305e-37,"HERC6"
"ENSG00000137965",448.899756429576,2.28268916043852,0.179382702790824,12.7252467764428,4.28120064080844e-37,9.77275786278259e-34,"IFI44"
"ENSG00000187608",881.228216398245,3.68988058980633,0.29086967805573,12.6856832051753,7.09921015157631e-37,1.41797848765047e-33,"ISG15"
"ENSG00000134326",405.78996993882,2.52639370936816,0.204083449481778,12.3792189703935,3.38621998261058e-35,6.01204545579271e-32,"CMPK2"
"ENSG00000111335",1303.34662208997,2.09488369483543,0.170321582111695,12.2995786491792,9.10478394516627e-35,1.45485342659812e-31,"OAS2"
"ENSG00000184979",182.657605383489,2.45612541458891,0.201203090260052,12.2071952841997,2.84529348345316e-34,4.13317677928164e-31,"USP18"
"ENSG00000130303",166.674976357097,2.29805130594394,0.192879413648872,11.9144457278756,9.95258230730947e-33,1.32526927240415e-29,"BST2"
"ENSG00000133328",77.5892938466118,2.50011144605492,0.213871585325064,11.6897784352933,1.43761162443557e-31,1.76704585745046e-28,"PLAAT2"
"ENSG00000089127",608.333913968903,2.05636273614886,0.177907815322315,11.5585857339845,6.67998739920706e-31,7.62425133228069e-28,"OAS1"
"ENSG00000160932",761.254286758842,1.41987313925634,0.124234974499999,11.4289325125297,2.99771304367228e-30,3.19336378165596e-27,"LY6E"
"ENSG00000108679",618.909740874546,1.22653332351058,0.110705329760037,11.079261731745,1.5817137616604e-28,1.57963776234822e-25,"LGALS3BP"
"ENSG00000111331",1426.37057767554,2.20544199502125,0.206022365748536,10.7048668575777,9.65693840590917e-27,9.07695404635427e-24,"OAS3"
"ENSG00000169245",385.437735890335,4.06787583536976,0.382957585468816,10.6222620721558,2.3480117219962e-26,2.08438218365429e-23,"CXCL10"
"ENSG00000121858",854.041909745173,1.48076871347718,0.139968513495129,10.5792987044097,3.71730097084841e-26,3.12625011648351e-23,"TNFSF10"
"ENSG00000136514",87.7226080438636,1.90968762119664,0.1809997646373,10.5507740577641,5.03803113605713e-26,3.83346188205033e-23,"RTP4"
"ENSG00000196141",602.665106441127,1.13211806188905,0.107257142132974,10.5551764607478,4.807354404005e-26,3.83346188205033e-23,"SPATS2L"
"ENSG00000176046",518.968262132973,1.80734017498082,0.178639187709067,10.1172659714747,4.6317295982399e-24,3.36410942046706e-21,"NUPR1"
"ENSG00000068079",127.315069874097,1.55211453879223,0.156156718374947,9.93946693388785,2.80323178253809e-23,1.94751481100766e-20,"IFI35"
"ENSG00000157601",2170.5045865863,1.65504377932335,0.167707614544951,9.86862632215037,5.69390033457612e-23,3.79095139359133e-20,"MX1"
"ENSG00000122643",276.727015179675,1.4517978733504,0.148415362845528,9.78199187412584,1.34536355228963e-22,8.59902568081443e-20,"NT5C3A"
"ENSG00000137628",681.271350884455,1.79714894332432,0.184115505201316,9.76098640556795,1.65537209958649e-22,1.01735349151125e-19,"DDX60"
"ENSG00000002549",690.716414743618,1.44008647104832,0.148196090745723,9.71743899452274,2.54091691828531e-22,1.50375227545485e-19,"LAP3"
"ENSG00000133106",490.837933752752,1.94178805048139,0.201911293886883,9.61703534805356,6.77558489592805e-22,3.86668110900123e-19,"EPSTI1"
"ENSG00000130813",153.805584568494,1.25825061884335,0.134161776957943,9.37860728572333,6.68498748239668e-21,3.68342810280057e-18,"SHFL"
"ENSG00000089692",84.3920676161187,2.29462199216133,0.244934818244664,9.36829646599795,7.37125952196965e-21,3.92617853005177e-18,"LAG3"
"ENSG00000138496",824.568600400771,1.31194022751606,0.143367508946459,9.15088946691547,5.64666804550106e-20,2.91058415158263e-17,"PARP9"
"ENSG00000100911",308.312297183041,0.989663096530107,0.109426928739099,9.04405440172511,1.50966088013388e-19,7.53839725114353e-17,"PSME2"
"ENSG00000135114",265.721249988003,2.37945484908005,0.263914265415645,9.01601452021771,1.95056573147072e-19,9.44487570399109e-17,"OASL"
"ENSG00000142089",1138.92432648722,1.78672440909906,0.199939276385055,8.93633527840762,4.02290091285963e-19,1.89064510842894e-16,"IFITM3"
"ENSG00000152778",307.36589010789,1.46169122467773,0.16798310035989,8.70141830664023,3.277616926189e-18,1.49637259610212e-15,"IFIT5"
"ENSG00000132274",1085.08639420968,1.18361856747968,0.138035083277653,8.57476620707268,9.9288277499315e-18,4.40702051711543e-15,"TRIM22"
"ENSG00000055332",1115.96852102442,1.06399533997147,0.124268652762585,8.56205741607446,1.1087095782529e-17,4.78812712186569e-15,"EIF2AK2"
"ENSG00000165801",213.956426065099,-1.82703850198532,0.215517672808439,-8.47744167880498,2.30199690690296e-17,9.67989699352696e-15,"ARHGEF40"
"ENSG00000107201",609.433194884943,1.70649849588472,0.201667403816134,8.46194508181688,2.6295435199823e-17,1.07737117707172e-14,"DDX58"
"ENSG00000119917",1222.53250682067,2.31189385553412,0.27396185711599,8.4387435531046,3.20766992955532e-17,1.28138394510911e-14,"IFIT3"
"ENSG00000132530",1277.41880575621,1.20213826565224,0.142828035691414,8.41668276002558,3.87294609674678e-17,1.50940989463212e-14,"XAF1"
"ENSG00000078081",218.84515834517,1.45348107096207,0.173467430234008,8.37898543260437,5.33858806761364e-17,2.03107854124758e-14,"LAMP3"
"ENSG00000178726",145.428499857608,-2.46981171860401,0.298040351283724,-8.28683669162919,1.16300148706707e-16,4.32176761903364e-14,"THBD"
"ENSG00000125810",192.750994933872,-2.16808058237371,0.263020706888235,-8.24300340465205,1.67940793361706e-16,6.09892258437887e-14,"CD93"
"ENSG00000134321",1380.33720276507,2.16952832996023,0.263993086151506,8.21812556377001,2.06708482622555e-16,7.33998854183514e-14,"RSAD2"
"ENSG00000109511",7.27385261227244,2.35389723216794,0.287198687399808,8.19605846210255,2.48397563363775e-16,8.4490999246105e-14,"ANXA10"
"ENSG00000125148",453.963719685724,1.54601544340839,0.188630485293909,8.19599992546014,2.48518490804615e-16,8.4490999246105e-14,"MT2A"
"ENSG00000163840",677.974398511855,0.966011616938788,0.118647189236364,8.14188370711707,3.89174965438885e-16,1.29554724432249e-13,"DTX3L"
"ENSG00000147689",1642.09010782076,1.37377724405728,0.169378224663325,8.11070754099561,5.03258506721349e-16,1.64113626100009e-13,"FAM83A"
"ENSG00000127528",351.604094786556,-1.52119323720897,0.189439867546689,-8.02995302366361,9.75099954126974e-16,3.11622443339898e-13,"KLF2"
"ENSG00000243649",577.939574724104,1.06525032799645,0.132955160008365,8.01210218489772,1.12764110560555e-15,3.53305435813159e-13,"CFB"
"ENSG00000108771",124.796911037463,1.24477396866671,0.155524603105744,8.00371094868105,1.20724589841985e-15,3.70972734824053e-13,"DHX58"
"ENSG00000163735",34.9231045204751,-3.30426534911628,0.413705408289667,-7.98700061180421,1.38261405737694e-15,4.16845094770304e-13,"CXCL5"
"ENSG00000156587",422.400314798784,1.31120037501318,0.164436096299395,7.97392059603402,1.53718322790196e-15,4.54863903678619e-13,"UBE2L6"
"ENSG00000018280",846.934376121551,-2.33583054893093,0.293857542274815,-7.94885348474896,1.8824552728831e-15,5.46904596461801e-13,"SLC11A1"
"ENSG00000073605",167.145347559209,1.02686283844784,0.13090534636545,7.8443155070316,4.35321372716354e-15,1.24214289547047e-12,"GSDMB"
"ENSG00000115590",297.601106290016,-2.88347888952911,0.368038317661032,-7.83472467718654,4.69871161379179e-15,1.3172054890663e-12,"IL1R2"
"ENSG00000173193",2557.35439350271,1.26719767970863,0.162099144155981,7.8174236286483,5.39154192295924e-15,1.48536979977527e-12,"PARP14"
"ENSG00000108700",47.8889815227256,4.6804137120106,0.598881156555795,7.8152629462045,5.48484094787008e-15,1.48546226281383e-12,"CCL8"
"ENSG00000119922",2161.01227467848,2.31394876634171,0.299722147133217,7.72031292473436,1.16044454528398e-14,3.09045723151544e-12,"IFIT2"
"ENSG00000131203",374.30203915928,1.897887918568,0.246115492454204,7.71137119261659,1.24473047354646e-14,3.26058167816374e-12,"IDO1"
"ENSG00000067445",25.2612904456131,1.82748832733098,0.238258063432266,7.67020557879466,1.71720899856737e-14,4.35544168065207e-12,"TRO"
"ENSG00000133316",1252.93346116938,1.44259192457593,0.188060778708667,7.67088137399829,1.70818473198173e-14,4.35544168065207e-12,"WDR74"
"ENSG00000177409",928.889874095059,1.56904385903726,0.204775855149109,7.66225030726768,1.82703108268447e-14,4.49140456464847e-12,"SAMD9L"
"ENSG00000204264",330.588532956748,0.823157425219646,0.107422653944175,7.66279173895129,1.81934241083244e-14,4.49140456464847e-12,"PSMB8"
"ENSG00000086065",281.516227678651,0.617215647834209,0.0805774948800701,7.65990117653645,1.86076210006644e-14,4.50501781772145e-12,"CHMP5"
"ENSG00000166750",1053.90238981812,0.859558351837596,0.11252922224662,7.63853454841959,2.19708004557838e-14,5.23987194750699e-12,"SLFN5"
"ENSG00000168961",413.140023700126,0.826957973345789,0.109045054602467,7.58363573992911,3.36003658344531e-14,7.89559184806949e-12,"LGALS9"
"ENSG00000111801",131.864442281862,1.06071106275389,0.14001414631745,7.57574209929456,3.5708054048041e-14,8.26926080628474e-12,"BTN3A3"
"ENSG00000110492",264.372948560999,1.03686696531715,0.13732289609112,7.55057601340667,4.33337393864543e-14,9.8918545950879e-12,"MDK"
"ENSG00000269720",11.4552574368081,2.16217744173062,0.287806721750403,7.51260230678607,5.79634110399315e-14,1.30450330282685e-11,"CCDC194"
"ENSG00000130487",167.46249975212,1.6430180342996,0.22144167947595,7.41964221996449,1.17437135750202e-13,2.60628887798955e-11,"KLHDC7B"
"ENSG00000163644",367.65669251421,0.844254193348315,0.113967723031984,7.40783592834772,1.28376987013071e-13,2.81004914449571e-11,"PPM1K"
"ENSG00000128284",140.298636916814,1.26250641212953,0.170586515681988,7.40097426272035,1.35188935217157e-13,2.91916756193912e-11,"APOL3"
"ENSG00000115415",2220.9875465317,1.09097646827794,0.147574468775388,7.39271824815731,1.43857099335576e-13,3.06492345371088e-11,"STAT1"
"ENSG00000170581",873.007763490162,0.93057273384189,0.126016999419624,7.38450160000378,1.53025515643804e-13,3.21736146641098e-11,"STAT2"
"ENSG00000087589",133.685387694214,-1.72976509991374,0.23433076393886,-7.38172432350818,1.56252471480243e-13,3.24254317114649e-11,"CASS4"
"ENSG00000173786",286.337813671546,0.677421904282312,0.0925375023241334,7.32051208719131,2.47026460163295e-13,5.06055872685806e-11,"CNP"
"ENSG00000121380",74.3420078801315,1.05145820418933,0.144171063656841,7.29312926962958,3.02837263186601e-13,6.12536282083379e-11,"BCL2L14"
