"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genenames"
"ENSG00000188215",436.364217744615,-2.90101600680353,0.267657740729329,-10.8385283343522,2.26078510262834e-27,3.61250851548983e-23,"DCUN1D3"
"ENSG00000050730",67.5050883449373,-2.92228839906349,0.274056523843797,-10.6630864249344,1.51485180208054e-26,1.21029084727224e-22,"TNIP3"
"ENSG00000125538",2210.32311154639,-4.65174511982169,0.464186671069841,-10.0212811132653,1.22899430425418e-23,6.54603332922586e-20,"IL1B"
"ENSG00000136689",1887.65172964847,-3.44035592847032,0.351373948711921,-9.79115253444967,1.22887039060383e-22,4.90902999286466e-19,"IL1RN"
"ENSG00000123700",393.572850090077,-2.57079928076947,0.268893599227961,-9.56065628988816,1.17012305205833e-21,3.73947924976802e-18,"KCNJ2"
"ENSG00000115956",2402.44621310828,-3.80813444042562,0.402465336306453,-9.46201845697824,3.02055237309427e-21,8.04423439494555e-18,"PLEK"
"ENSG00000160271",672.07304472153,-1.57455739050951,0.168333793946568,-9.35378068535245,8.45694930225341e-21,1.93047989858153e-17,"RALGDS"
"ENSG00000105939",787.82674144944,-1.57935965357347,0.169337599078136,-9.3266921355411,1.09226563638584e-20,2.18166407547618e-17,"ZC3HAV1"
"ENSG00000067445",25.2612904456131,2.96478287530949,0.320363324334614,9.25443910119009,2.15358125791024e-20,3.82356388001641e-17,"TRO"
"ENSG00000277632",215.434483042649,-3.96417726593018,0.43235233027032,-9.16885833239676,4.78055000695923e-20,7.63884085612016e-17,"CCL3"
"ENSG00000147416",627.202131113248,-2.02041873046957,0.222056165760336,-9.09868331532929,9.14335292241751e-20,1.32819669406645e-16,"ATP6V1B2"
"ENSG00000090339",669.63957012173,-3.25221823972896,0.361219941995602,-9.00342938366499,2.18774733683391e-19,2.57087499499249e-16,"ICAM1"
"ENSG00000140749",233.820688097876,-2.17561352810297,0.241595759734154,-9.00518092907329,2.15310493339289e-19,2.57087499499249e-16,"IGSF6"
"ENSG00000185215",1285.13155893838,-2.29110896867529,0.254561183903571,-9.00022907476409,2.25247199010545e-19,2.57087499499249e-16,"TNFAIP2"
"ENSG00000136205",249.91898286476,-2.24466902285336,0.250071449913294,-8.97611072208222,2.8050709039757e-19,2.80138924841423e-16,"TNS3"
"ENSG00000152229",192.044210388399,-2.81783033595951,0.313737190326867,-8.98149923833944,2.67101962951491e-19,2.80138924841423e-16,"PSTPIP2"
"ENSG00000102265",176.350289823353,-2.12802516706515,0.237362721851864,-8.96528802190441,3.09470993685158e-19,2.90884529887949e-16,"TIMP1"
"ENSG00000167996",11491.9247504828,-1.85306400633592,0.210463835289617,-8.80466710010268,1.31241531273608e-18,1.16506023790055e-15,"FTH1"
"ENSG00000116514",543.56589726054,-1.88328979103103,0.214968517826264,-8.76077022847176,1.93920725540339e-18,1.63087330179425e-15,"RNF19B"
"ENSG00000173039",341.87849715219,-1.31454973981894,0.150305728022728,-8.74583927779629,2.2136401804713e-18,1.76858782218754e-15,"RELA"
"ENSG00000166862",22.0477895819649,-2.80552389960145,0.32262387181157,-8.69595880753684,3.43913205091714e-18,2.61685195436214e-15,"CACNG2"
"ENSG00000100906",1590.53656265559,-2.49210766931984,0.287393231805059,-8.67142087399697,4.26761137007527e-18,3.09964373101967e-15,"NFKBIA"
"ENSG00000087253",198.316254213957,-2.49955062215293,0.288437110432225,-8.66584268025476,4.48185482910772e-18,3.11371992670923e-15,"LPCAT2"
"ENSG00000138821",131.58637521547,-1.93484072151152,0.223610194835414,-8.65273930348137,5.02777855510703e-18,3.34745306383563e-15,"SLC39A8"
"ENSG00000112096",12693.8658353691,-2.808034166705,0.327476255118332,-8.57477182793095,9.92834287410118e-18,6.34579963141051e-15,"SOD2"
"ENSG00000135604",292.47150030848,-1.99352284651068,0.232702822803962,-8.56681849618172,1.06383374725497e-17,6.53807671053351e-15,"STX11"
"ENSG00000137331",454.429392730819,-2.08189858787336,0.243553554100381,-8.548011526924,1.25227214206899e-17,6.91421002809838e-15,"IER3"
"ENSG00000146278",1420.26565646669,-1.76645039145373,0.206586660912125,-8.55065077122822,1.22396434643206e-17,6.91421002809838e-15,"PNRC1"
"ENSG00000198355",472.869644228016,-1.47288474398122,0.172312076256891,-8.54777434046681,1.25484755500878e-17,6.91421002809838e-15,"PIM3"
"ENSG00000121797",125.783857796082,-3.5082581799748,0.411161617465853,-8.5325527260972,1.43153271845642e-17,7.378858486521e-15,"CCRL2"
"ENSG00000170542",418.567167745504,-2.31942304027707,0.271792777949375,-8.53379202264562,1.41627343059755e-17,7.378858486521e-15,"SERPINB9"
"ENSG00000129226",335.819389456048,-1.75751929136027,0.206516687191719,-8.51030158995667,1.73481524781088e-17,8.66269151399064e-15,"CD68"
"ENSG00000100292",174.453676786233,-2.03538058762792,0.239742265946831,-8.48986965059938,2.06868996433785e-17,1.00168475576226e-14,"HMOX1"
"ENSG00000276085",162.42691726971,-3.76909790559116,0.444358704119398,-8.48210661938201,2.21152767560186e-17,1.03935296260124e-14,"CCL3L3"
"ENSG00000275302",244.468224989804,-3.52881446933374,0.416846726039584,-8.46549642565418,2.55063936202695e-17,1.16447618188082e-14,"CCL4"
"ENSG00000115008",72.9251984056444,-4.27991580470745,0.506317809591285,-8.45302243695977,2.83857101924431e-17,1.25993128656958e-14,"IL1A"
"ENSG00000087266",785.14512327386,-1.9893666402283,0.236556443071733,-8.40969121109522,4.11091543823258e-17,1.71821701988776e-14,"SH3BP2"
"ENSG00000134802",107.989672182345,-2.21046326600508,0.262755297645561,-8.41263063318651,4.00915928431921e-17,1.71821701988776e-14,"SLC43A3"
"ENSG00000164604",203.225215057288,-2.52290647460563,0.300083312337913,-8.40735346111043,4.19365816231445e-17,1.71821701988776e-14,"GPR85"
"ENSG00000056558",150.16041896526,-2.46459616024727,0.293781622978322,-8.3892114668763,4.89413673099389e-17,1.89908350491295e-14,"TRAF1"
"ENSG00000134070",230.658828563787,-2.57290577478503,0.306630668668372,-8.39089509851894,4.82454682463182e-17,1.89908350491295e-14,"IRAK2"
"ENSG00000139318",219.614394730883,-1.6434809707738,0.195958292408402,-8.38689167258397,4.99164573542425e-17,1.89908350491295e-14,"DUSP6"
"ENSG00000110848",180.700188216434,-2.91481669976002,0.347671724247428,-8.38381869008603,5.12376966335475e-17,1.90401663838943e-14,"CD69"
"ENSG00000131446",375.868732414382,-1.19909779541384,0.143227735108308,-8.37196646660013,5.66645715060413e-17,2.05782542748872e-14,"MGAT1"
"ENSG00000127311",512.025243664732,-1.98654315192288,0.237408379821543,-8.36762018853817,5.87935431792589e-17,2.0876933921364e-14,"HELB"
"ENSG00000132002",543.653000316122,-1.19187205181069,0.142525333190575,-8.3625277354518,6.13885471143228e-17,2.13245129204296e-14,"DNAJB1"
"ENSG00000135124",162.281174080192,-1.27229966313003,0.15252808209814,-8.34141258205427,7.34082853130304e-17,2.49207908766558e-14,"P2RX4"
